"Course Name","Course Link","Responses","Average Rating","Satisfaction","Objectives","Relevance","Platform","Total Learners","Learner Display Text","Tags"
"1-Handed Knot-Tying","https://www.surghub.org/course/btk-1-handed-knot-tying","203","4.5","4.55","4.6","4.53","4.62","630","630+ learners","Free, Popular"
"2-Handed Knot-Tying","https://www.surghub.org/course/btk-2-handed-knot-tying","142","4.6","4.56","4.58","4.5","4.64","424","420+ learners","Free"
"A Crash Course in Facial Fractures","https://www.surghub.org/course/facial-trauma","317","4.7","4.68","4.64","4.64","4.63","1522","1,520+ learners","Free, Popular"
"Acide Tranexamique","https://www.surghub.org/course/acide-tranexamique","66","4.7","4.67","4.56","4.58","4.51","323","320+ learners","Free, CPD/CME"
"Acute Burn Care","https://www.surghub.org/course/acute-burn-care","158","4.7","4.66","4.69","4.63","4.79","513","510+ learners","Free, Popular"
"Acute Mesenteric Ischemia","https://www.surghub.org/course/btk-acute-mesenteric-ischemia","88","4.7","4.67","4.59","4.69","4.73","288","280+ learners","Free"
"Adjuvant Medications for Peripheral Nerve Blocks","https://www.surghub.org/course/adjuvant-medications-peripheral-nerve-blocks","186","4.6","4.6","4.62","4.55","4.61","537","530+ learners","Free, Popular"
"All About Aseptic Technique","https://www.surghub.org/course/aseptic-technique","420","4.5","4.47","4.47","4.41","4.49","707","700+ learners","Free, Popular"
"Anaesthesia for Caesarean Delivery","https://www.surghub.org/course/anaesthesia-caesarean-delivery","312","4.6","4.57","4.59","4.53","4.63","976","970+ learners","Free, Popular, CPD/CME"
"Anaesthesia for Craniotomy and Brain Tumour Resection","https://www.surghub.org/course/anesthesia-for-craniotomy","151","4.5","4.46","4.48","4.45","4.49","442","440+ learners","Free, CPD/CME"
"Anaesthesia for Posterior Cranial Fossa Surgery","https://www.surghub.org/course/anaesthesia-posterior-cranial-fossa-surgery","59","4.7","4.71","4.68","4.69","4.74","183","180+ learners","Free, CPD/CME"
"Anaesthesia for Tissue Free-Flap Surgery","https://www.surghub.org/course/anaesthesia-tissue-free-flap-surgery","65","4.6","4.57","4.58","4.52","4.59","180","180+ learners","Free"
"Anaesthesia in War","https://www.surghub.org/course/anaesthesia-in-war","56","4.7","4.7","4.59","4.64","4.49","537","530+ learners","Free, CPD/CME"
"Anaesthetic Considerations for Vaginal Birth After Caesarean Delivery","https://www.surghub.org/course/anaesthetic-considerations-vaginal-birth-after-caesarean-delivery","95","4.7","4.71","4.64","4.64","4.58","311","310+ learners","Free, CPD/CME"
"Anestesia para Craneotomía y Resección de Tumor Cerebral","https://www.surghub.org/course/anestesia-craneotomia-reseccion-tumor-cerebral","22","4.9","4.86","4.86","4.86","4.82","100","100+ learners","Free, CPD/CME"
"Appendicitis","https://www.surghub.org/course/acute-appendicitis","118","4.7","4.65","4.61","4.64","4.65","635","630+ learners","Free, Popular"
"Apprendre et Transmettre l'Anesthésie Locorégionale Echoguidée en toute Sécurité","https://www.surghub.org/course/anesthesie-locoregionale-echoguidee","218","4.6","4.57","4.38","4.47","4.12","557","550+ learners","Free"
"Basic Burn Management","https://www.surghub.org/course/tecsalud-basic-burn-management","137","4.5","4.49","4.5","4.44","4.6","434","430+ learners","Free"
"Basic Caesarean Section","https://www.surghub.org/course/basic-caesarean-section","80","4.5","4.46","4.44","4.34","4.61","340","340+ learners","Free"
"Basic Principles of Wound Management","https://www.surghub.org/course/tecsalud-basic-principles-wound-management","534","4.4","4.43","4.46","4.43","4.61","1333","1,330+ learners","Free, Popular"
"Blast Injuries","https://www.surghub.org/course/blast-injuries","79","4.7","4.67","4.67","4.56","4.7","297","290+ learners","Free"
"Blood Sparing Techniques in Paediatric Anaesthesia","https://www.surghub.org/course/blood-sparing-paediatric-anaesthesia","73","4.6","4.63","4.56","4.49","4.59","175","170+ learners","Free"
"Brain Death","https://www.surghub.org/course/brain-death-behind-the-knife-big-t-trauma-series","49","4.6","4.63","4.61","4.64","4.68","214","210+ learners","Free"
"Breast Cancer Surgery Course","https://www.surghub.org/course/breast-cancer-surgery-course","165","4.6","4.56","4.59","4.58","4.43","1323","1,320+ learners","Free, Popular"
"Breast Reconstruction","https://www.surghub.org/course/breast-reconstruction","123","4.6","4.63","4.63","4.65","4.72","408","400+ learners","Free"
"Burn Reconstruction","https://www.surghub.org/course/burn-reconstruction","48","4.8","4.75","4.79","4.79","4.84","189","180+ learners","Free"
"Burns: Wound Care and Pain Management","https://www.surghub.org/course/wound-care","365","4.5","4.52","4.54","4.52","4.55","910","910+ learners","Free, Popular"
"Burns","https://www.surghub.org/course/gtc-burns","57","4.7","4.68","4.63","4.71","4.74","265","260+ learners","Free"
"C-Arm Intraoperative Imaging for Ankle Fractures","https://www.surghub.org/course/c-arm-interoperative-imaging-ankle-fractures","195","4.5","4.55","4.51","4.52","4.56","534","530+ learners","Free"
"CVAD Complications Prevention and Management","https://www.surghub.org/course/cvad-complications-prevention-management","176","4.7","4.66","4.64","4.55","4.64","261","260+ learners","Free"
"Cardiac Trauma","https://www.surghub.org/course/btk-cardiac-trauma","70","4.6","4.57","4.56","4.49","4.5","239","230+ learners","Free"
"Central Venous Access Devices CVADs","https://www.surghub.org/course/central-venous-access-devices","83","4.7","4.72","4.81","4.66","4.72","221","220+ learners","Free"
"Certificate in Community Engagement and Involvement for Surgical Research","https://www.surghub.org/course/certificate-community-engagement-involvement-surgical-research","267","4.5","4.54","4.51","4.45","4.51","1081","1080+ learners","Free"
"Chemical and Radiation Injuries","https://www.surghub.org/course/chemical-radiation-injuries","41","4.8","4.83","4.8","4.71","4.79","185","180+ learners","Free"
"Chest Wall Reconstruction","https://www.surghub.org/course/chest-wall-reconstruction","46","4.7","4.65","4.65","4.59","4.76","180","180+ learners","Free"
"Cleft Lip and Palate","https://www.surghub.org/course/resurge-cleft-lip-palate","141","4.7","4.73","4.7","4.75","4.72","561","560+ learners","Free, Popular"
"Colon Cancer Surgery Course","https://www.surghub.org/course/colon-cancer-surgery","127","4.5","4.54","4.49","4.53","4.44","908","900+ learners","Free, Popular"
"Common Intraoperative Problems","https://www.surghub.org/course/common-intraoperative-problems","213","4.5","4.55","4.53","4.5","4.54","577","570+ learners","Free, Popular"
"Communicating Effectively - Fundamentals of Patient Safety 2024","https://www.surghub.org/course/communicating-effectively-fundamentals-patient-safety","51","4.4","4.43","4.45","4.35","4.46","138","130+ learners","Free, CPD/CME"
"Communication Skills for Telephone Consultation","https://www.surghub.org/course/telephone-consultation","126","4.6","4.6","4.62","4.61","4.65","280","280+ learners","Free"
"Complex Lower Extremity Trauma - Acetabular Fractures","https://www.surghub.org/course/complex-lower-extremity-trauma-acetabular-fractures","83","4.5","","","","","265","260+ learners","Free, New"
"Complex Lower Extremity Trauma - Femoral Neck Fractures","https://www.surghub.org/course/complex-lower-extremity-trauma-femoral-neck-fractures","231","4.6","","","","","687","680+ learners","Free, New"
"Consideraciones Anestésicas para el Parto Vaginal luego de Cesárea","https://www.surghub.org/course/consideraciones-anestesicas-parto-vaginal-luego-cesarea","10","4.8","4.8","4.8","4.8","4.62","46","40+ learners","Free, CPD/CME"
"Conversion of Labour Epidural Analgesia to Anaesthesia for Caesarean Delivery","https://www.surghub.org/course/labour-epidural-analgesia-to-anaesthesia-caesarean-delivery","56","4.8","4.75","4.73","4.69","4.77","162","160+ learners","Free"
"Conversión de Analgesia Epidural para Labor a Anestesia para Operación Cesárea","https://www.surghub.org/course/conversion-analgesia-epidural-anestesia-operacion-cesarea","11","4.9","4.91","4.73","4.73","4.8","33","30+ learners","Free, CPD/CME"
"Difficult Airway Algorithm 2023","https://www.surghub.org/course/difficult-airway-algorithm-2023","267","4.3","4.34","4.3","4.37","4.33","486","480+ learners","Free, CPD/CME"
"Difficult Caesarean Section","https://www.surghub.org/course/difficult-caesarean-section","92","4.5","4.49","4.53","4.51","4.47","315","310+ learners","Free"
"Drug Errors in Anesthesia 2023","https://www.surghub.org/course/drug-errors-anesthesia-2023","103","4.6","4.57","4.53","4.54","4.57","264","260+ learners","Free, CPD/CME"
"ED Thoracotomy","https://www.surghub.org/course/btk-ed-thoracotomy","40","4.5","4.45","4.5","4.49","4.65","162","160+ learners","Free"
"Ear Reconstruction","https://www.surghub.org/course/ear-reconstruction","83","4.7","4.65","4.6","4.64","4.74","293","290+ learners","Free"
"Ectopic Pregnancy","https://www.surghub.org/course/ectopic-pregnancy","30","4.5","4.5","4.53","4.47","4.61","256","250+ learners","Free"
"Emergency Checklists in Anesthesia Practice","https://www.surghub.org/course/emergency-checklists-anesthesia-practice","194","4.5","4.47","4.42","4.46","4.48","522","520+ learners","Free, Popular, CPD/CME"
"Epidemiology - Fundamentals of Patient Safety 2024","https://www.surghub.org/course/epidemiology-fundamentals-patient-safety","96","4.5","4.52","4.53","4.52","4.61","183","180+ learners","Free, CPD/CME"
"Epidural en el Trabajo de Parto Solución de Problemas","https://www.surghub.org/course/epidural-trabajo-parto-problemas","11","4.6","4.64","4.55","4.55","4.6","28","20+ learners","Free"
"Error Analysis and Prevention - Fundamentals of Patient Safety 2024","https://www.surghub.org/course/error-analysis-prevention-fundamentals-patient-safety","74","4.6","4.64","4.69","4.66","4.7","160","160+ learners","Free, CPD/CME"
"Esophageal Perforation","https://www.surghub.org/course/btk-esophageal-perforation","70","4.7","4.7","4.61","4.59","4.68","272","270+ learners","Free"
"Essential Burn Care (EBC)","https://www.surghub.org/course/essential-burn-care","1098","4.7","4.68","4.68","4.66","4.69","6348","6,340+ learners","Free, Popular"
"Essential Emergency  Critical Care","https://www.surghub.org/course/essential-emergency-and-critical-care","1040","4.7","4.7","4.71","4.65","4.66","5230","5,230+ learners","Free, Popular, CPD/CME"
"Exploring Perioperative Nursing","https://www.surghub.org/course/exploring-perioperative-nursing","212","4.8","4.82","4.76","4.75","4.69","1178","1170+ learners","Free"
"Facial Paralysis","https://www.surghub.org/course/facial-paralysis","60","4.9","4.92","4.79","4.85","4.78","233","230+ learners","Free"
"Fascia Iliaca Compartment Block An Update","https://www.surghub.org/course/fascia-iliaca-update","26","4.7","4.73","4.69","4.65","4.68","97","90+ learners","Free, CPD/CME"
"Fascia Iliaca Compartment Block Landmark And Ultrasound Approach","https://www.surghub.org/course/fascia-iliaca-compartment-block","71","4.6","4.63","4.58","4.56","4.71","178","170+ learners","Free"
"Femoral Vessels","https://www.surghub.org/course/btk-femoral-vessels","61","4.6","4.61","4.55","4.61","4.76","182","180+ learners","Free"
"Fundamentals of War Surgery","https://www.surghub.org/course/fundamentals-war-surgery","62","4.6","4.63","4.68","4.69","4.5","578","570+ learners","Free, Popular"
"Hand Trauma Reconstruction","https://www.surghub.org/course/hand-trauma-reconstruction","249","4.8","4.75","4.73","4.71","4.75","866","860+ learners","Free, Popular"
"Hand Washing Asepsis Disinfection and Sterilization","https://www.surghub.org/course/tecsalud-hand-washing-asepsis-desinfection-sterilization","226","4.5","4.54","4.57","4.54","4.64","477","470+ learners","Free"
"Head and Neck Reconstruction","https://www.surghub.org/course/head-neck-reconstruction","70","4.6","4.6","4.64","4.61","4.65","376","370+ learners","Free"
"Hemorrhage Control in the Prehospital Setting","https://www.surghub.org/course/crash-savers-trauma","78","4.8","4.77","4.69","4.72","4.72","390","390+ learners","Free"
"Infection Control and Prevention 2023","https://www.surghub.org/course/infection-control-prevention-2023","484","4.7","4.65","4.65","4.66","4.69","1184","1,180+ learners","Free, Popular, CPD/CME"
"Informed Consent  Team Communication During Cesarean Section","https://www.surghub.org/course/informed-consent-team-communication-cesarean-section","45","4.7","4.73","4.62","4.67","4.72","237","230+ learners","Free, New"
"Interprofessional Communication - Fundamentals of Patient Safety 2024","https://www.surghub.org/course/interprofessional-communication-fundamentals-patient-safety","80","4.6","4.61","4.66","4.68","4.69","176","170+ learners","Free, CPD/CME"
"Intervention de Traumatologie et de Catastrophe en Equipe","https://www.surghub.org/course/francais-tdtr","105","4.6","4.61","4.43","4.54","4.38","345","340+ learners","Free"
"Introduction to C-Arm Imaging and Radiation Safety in the Operating Room","https://www.surghub.org/course/introduction-intraoperative-imaging","336","4.7","4.65","4.63","4.66","4.68","821","820+ learners","Free, Popular"
"Introduction to Musculoskeletal Tumour Surgery","https://www.surghub.org/course/musculoskeletal-tumour-surgery","66","4.7","4.65","4.59","4.58","4.6","528","520+ learners","Free, Popular"
"Key Concepts in the Perioperative Management of Spinal Cord Injuries","https://www.surghub.org/course/perioperative-management-spinal-cord-injuries","73","4.6","4.58","4.58","4.56","4.61","185","180+ learners","Free, CPD/CME"
"Laparoscopic Cholecystectomy","https://www.surghub.org/course/laparoscopic-cholecystectomy","138","4.7","4.68","4.67","4.59","4.64","726","720+ learners","Free"
"Laparoscopic Handling of Small Bowel","https://www.surghub.org/course/laparoscopic-handling-of-small-bowel","31","4.5","4.55","4.55","4.61","4.67","153","150+ learners","Free"
"Lavado de Manos, Asepsia, Desinfección y Esterilización","https://www.surghub.org/course/lavado-manos-asepsia-desinfeccion-esterilizacion","107","4.7","4.67","4.67","4.67","4.51","165","160+ learners","Free"
"Lip  Cheek Reconstruction","https://www.surghub.org/course/lip-cheek-reconstruction","42","4.6","4.57","4.57","4.6","4.67","191","190+ learners","Free"
"Liste de Contrôle de l'OMS pour une Chirurgie Sûre","https://www.surghub.org/course/liste-controle-oms-chirurgie-sure","32","4.7","4.72","4.66","4.71","4.72","105","100+ learners","Free"
"Lumbar Plexus Block  Landmark Technique PSOAS Compartment Block","https://www.surghub.org/course/lumbar-plexus-block","30","4.7","4.7","4.63","4.66","4.72","105","100+ learners","Free"
"Manejo Básico de Heridas","https://www.surghub.org/course/manejo-basico-heridas","159","4.7","4.65","4.68","4.68","4.6","303","300+ learners","Free"
"Manejo Básico de Quemaduras","https://www.surghub.org/course/manejo-basico-quemaduras","187","4.7","4.73","4.76","4.76","4.64","268","260+ learners","Free"
"Medication Error Prevention - Fundamentals of Patient Safety 2024","https://www.surghub.org/course/medication-error-prevention-fundamentals-patient-safety","252","4.6","4.58","4.56","4.49","4.66","395","390+ learners","Free, CPD/CME"
"Microsurgery and Workhorse Flaps","https://www.surghub.org/course/microsurgery-workhorse-flaps","193","4.7","4.66","4.68","4.66","4.7","708","700+ learners","Free, Popular"
"Nasal Reconstruction","https://www.surghub.org/course/nasal-reconstruction","63","4.8","4.75","4.71","4.59","4.77","239","230+ learners","Free"
"Navigating the Global Surgery Ecosystem","https://www.surghub.org/course/navigating-global-surgery-ecosystem","315","4.7","4.68","4.63","4.56","4.66","1542","1,540+ learners","Free, Popular"
"Nerve Stimulation for Peripheral Nerve Blockade","https://www.surghub.org/course/nerve-stimulation","29","4.9","4.86","4.84","4.74","4.84","107","100+ learners","Free"
"Nursing Care in War","https://www.surghub.org/course/nursing-care-in-war","51","4.6","4.57","4.41","4.56","4.19","482","480+ learners","Free"
"Obstetric Trauma","https://www.surghub.org/course/obstetric-trauma","252","4.6","4.64","4.61","4.61","4.65","601","600+ learners","Free"
"Obstetrics in the Setting of Remote Retrieval Medicine","https://www.surghub.org/course/obstetrics-remote-retrieval-medicine","116","4.7","4.7","4.58","4.61","4.74","291","290+ learners","Free, CPD/CME"
"Oral Health in Comprehensive Cleft Care","https://www.surghub.org/course/oral-health-professionals","55","4.5","4.53","4.51","4.58","4.64","178","170+ learners","Free"
"Overview of Skin Cancer","https://www.surghub.org/course/overview-of-skin-cancer","62","4.5","4.5","4.42","4.42","4.6","200","200+ learners","Free"
"Pancreatic Cancer Surgery Course","https://www.surghub.org/course/pancreatic-cancer-surgery","33","4.5","4.55","4.55","4.64","4.69","346","340+ learners","Free"
"Patient-Centred Care","https://www.surghub.org/course/patient-centred-care","369","4.5","4.46","4.44","4.34","4.5","982","980+ learners","Free, Popular"
"Penetrating Thoracoabdominal Trauma","https://www.surghub.org/course/penetrating-thoracoabdominal-trauma","58","4.5","4.55","4.47","4.48","4.61","295","290+ learners","Free"
"Perioperative Blood Management in the Pediatric Patient","https://www.surghub.org/course/perioperative-blood-management-pediatric-patient","46","4.7","4.65","4.52","4.64","4.76","142","140+ learners","Free, CPD/CME"
"Perioperative Medicine An Overview","https://www.surghub.org/course/perioperative-medicine","154","4.5","4.51","4.55","4.4","4.54","441","440+ learners","Free, CPD/CME"
"Perioperative Nursing E-Learning Foundational Programme PeN Programme","https://www.surghub.org/course/pen-programme","177","4.7","4.71","4.66","4.58","4.51","1874","1,870+ learners","Free, Popular"
"Personal Protective Equipment","https://www.surghub.org/course/ppe","1209","4.6","4.62","4.63","4.59","4.57","1893","1,890+ learners","Free, Popular"
"Postoperative Assessment and Monitoring","https://www.surghub.org/course/postoperative-assessment-and-monitoring","129","4.6","4.62","4.6","4.58","4.54","370","370+ learners","Free"
"Practical Considerations to Access the Epidural Space","https://www.surghub.org/course/access-epidural-space","57","4.4","4.42","4.47","4.46","4.53","163","160+ learners","Free, CPD/CME"
"Preoperative Assessment","https://www.surghub.org/course/preoperative-assessment","145","4.6","4.62","4.59","4.63","4.6","412","410+ learners","Free"
"Pressure Sore Reconstruction","https://www.surghub.org/course/pressure-sore-reconstruction","103","4.6","4.58","4.58","4.6","4.69","314","310+ learners","Free"
"Principles of Regional Anaesthesia in Children","https://www.surghub.org/course/regional-anaesthesia-children","65","4.7","4.66","4.66","4.72","4.66","190","190+ learners","Free, CPD/CME"
"Programa Básico de Entrenamiento Virtual en Enfermería Perioperatoria","https://www.surghub.org/course/pen-program-spanish","18","4.7","4.67","4.61","4.61","4.44","126","120+ learners","Free"
"Pulse Oximetry in the context of COVID-19","https://www.surghub.org/course/pulseoxcovidselflearning","55","4.7","4.65","4.69","4.59","4.45","121","120+ learners","Free"
"Pulse Oximetry","https://www.surghub.org/course/self-learn-pulse-ox","167","4.6","4.62","4.66","4.6","4.71","345","340+ learners","Free"
"Rapid Sequence Induction","https://www.surghub.org/course/rapid-sequence-induction","210","4.7","4.66","4.65","4.58","4.68","537","530+ learners","Free, Popular"
"Rectal Cancer Surgery Course","https://www.surghub.org/course/rectal-cancer-surgery","43","4.6","4.63","4.63","4.72","4.54","374","370+ learners","Free"
"Research Methodology Course RMC","https://www.surghub.org/course/canecsa-research-methodology-course","1076","4.6","4.59","4.56","4.55","4.56","4379","4,370+ learners","Free, Popular"
"Rural Urology Practice","https://www.surghub.org/course/rural-urology-practice","19","4.9","4.89","4.84","4.89","4.76","254","250+ learners","Free"
"Safe Clinical Handover","https://www.surghub.org/course/handover","120","4.6","4.62","4.67","4.63","4.77","334","330+ learners","Free"
"Safety Culture - Fundamentals of Patient Safety 2024","https://www.surghub.org/course/safety-culture-fundamentals-patient-safety","131","4.7","4.66","4.67","4.67","4.67","253","250+ learners","Free, CPD/CME"
"Scalp Reconstruction","https://www.surghub.org/course/scalp-reconstruction","121","4.6","4.59","4.55","4.61","4.73","330","330+ learners","Free"
"Soins Fondamentaux en Brûlologie","https://www.surghub.org/course/soins-fondamentaux-brulologie","53","4.7","4.74","4.55","4.58","4.67","340","340+ learners","Free"
"Speaking up in the Operating Room Escalating Concerns","https://www.surghub.org/course/speaking-up-operating-room","112","4.5","4.45","4.47","4.37","4.58","309","300+ learners","Free, CPD/CME"
"Strategies for Implementing Reliable Systems - Fundamentals of Patient Safety 2024","https://www.surghub.org/course/implementing-reliable-systems-fundamentals-patient-safety","33","4.7","4.73","4.78","4.75","4.68","117","110+ learners","Free, CPD/CME"
"Surgical Foundations","https://www.surghub.org/course/surgical-foundations","129","4.5","4.53","4.51","4.49","4.53","6886","6,880+ learners","Free, Popular"
"Surgical Instrument Testing and Inspection","https://www.surghub.org/course/surgical-instrument-testing-and-inspection","439","4.6","4.56","4.55","4.54","4.56","1533","1530+ learners","Free"
"Suture Technique","https://www.surghub.org/course/tecsalud-suture-technique","741","4.4","4.44","4.4","4.38","4.55","2215","2,210+ learners","Free, Popular"
"Suturing - Horizontal Mattress","https://www.surghub.org/course/btk-suturing-horizontal-mattress","101","4.7","4.65","4.68","4.63","4.7","243","240+ learners","Free"
"Suturing - Vertical Mattress","https://www.surghub.org/course/btk-suturing-vertical-mattress","135","4.6","4.56","4.6","4.58","4.6","373","370+ learners","Free"
"The Labour Epidural Troubleshooting","https://www.surghub.org/course/labour-epidural-troubleshooting","34","4.7","4.68","4.76","4.67","4.71","139","130+ learners","Free"
"Tranexamic Acid","https://www.surghub.org/course/tranexamic-acid","274","4.7","4.65","4.67","4.61","4.67","663","660+ learners","Free, Popular, CPD/CME"
"Transversus Abdominis Plane Block","https://www.surghub.org/course/transversus-abdominis-plane-block","52","4.8","4.79","4.77","4.77","4.73","131","130+ learners","Free"
"Trauma and Disaster Team Response","https://www.surghub.org/course/trauma-disaster-team-response-mcgill","1175","4.6","4.6","4.59","4.57","4.6","3295","3,290+ learners","Free, Popular"
"Triage  Resuscitation","https://www.surghub.org/course/triage-resuscitation","246","4.7","4.7","4.66","4.64","4.72","889","880+ learners","Free, Popular"
"Trocar Placement","https://www.surghub.org/course/trocar-placement","32","4.6","4.62","4.59","4.62","4.6","149","140+ learners","Free"
"Técnica de Suturas y Puntos","https://www.surghub.org/course/tecnica-suturas-puntos","225","4.7","4.69","4.68","4.68","4.61","503","500+ learners","Free, Popular"
"Ultrasound Guided Femoral Nerve Block","https://www.surghub.org/course/ultrasound-guided-femoral-nerve-block","44","4.7","4.7","4.59","4.59","4.62","144","140+ learners","Free"
"Understanding Arterial Blood Pressure Measurement","https://www.surghub.org/course/arterial-blood-pressure-measurement","65","4.5","4.54","4.46","4.37","4.52","305","300+ learners","Free"
"Understanding Capnography","https://www.surghub.org/course/understanding-capnography","117","4.7","4.67","4.65","4.61","4.69","306","300+ learners","Free"
"Understanding Local Anaesthetic Systemic Toxicity LAST","https://www.surghub.org/course/local-anaesthetic-systemic-toxicity","160","4.6","4.63","4.66","4.65","4.69","472","470+ learners","Free"
"Vascular Malformations","https://www.surghub.org/course/vascular-malformations","101","4.6","4.56","4.56","4.57","4.71","306","300+ learners","Free"
"Video Consultations","https://www.surghub.org/course/video-consultations","40","4.8","4.75","4.78","4.72","4.72","157","150+ learners","Free"
"Z-Plasty","https://www.surghub.org/course/z-plasty","222","4.6","4.62","4.64","4.63","4.63","750","750+ learners","Free, Popular"
"Private Courses","","","","","","","","","",""
"Acute and Chronic Pain (Private)","https://www.surghub.org/course/acute-chronic-pain","156","4.6","4.58","4.52","4.54","4.56","344","340+ learners","Free"
"Airway Matters (Private)","https://www.surghub.org/course/airway-matters","2","5.0","5","","5","5","","","Free"
"Concomitant Brain and Spine Trauma - Lessons from Public Health and Epidemiology Studies (Private)","https://www.surghub.org/course/concomitant-brain-spine-trauma-studies","3","4.0","4","3.67","3.67","4.33","","","Free"
"Laparoscopic Appendectomy for Uncomplicated Appendicitis (Private)","https://www.surghub.org/course/laparoscopic-appendectomy-uncomplicated-appendicitis","1","3.0","3","3","3","4","","","Free"
"Laparoscopy Assisted Hydrostatic Reduction of Intussusception (Private)","https://www.surghub.org/course/laparoscopy-assisted-hydrostatic-reduction-intussusception","3","4.3","4.33","4","4.33","4.67","","","Free"
"Wound Healing after C-Section (Private)","https://www.surghub.org/course/wound-healing-c-section","0","","","4.43","4.27","4.39","","","Free"
"Test Courses / Template Courses","","","","","","","","","",""
"template course (testing)","https://www.surghub.org/course/template-course-admin-only","222","4.6","4.62","4.64","4.63","4.63","750","750+ learners","Free"
"template course (testing)","https://www.surghub.org/course/wfsa-course-template-admin-only","222","6.6","4.62","4.64","4.63","4.63","750","7500+ learners","Free"